schoolID,schoolName,schoolStatsURL,rdStatsURL
478120,Abilene Christian,https://stats.ncaa.org/team/2/14900,https://stats.ncaa.org/teams/478120
478121,Alabama A&M,https://stats.ncaa.org/team/6/14900,https://stats.ncaa.org/teams/478121
478122,Alabama St.,https://stats.ncaa.org/team/7/14900,https://stats.ncaa.org/teams/478122
478123,Albany (NY),https://stats.ncaa.org/team/14/14900,https://stats.ncaa.org/teams/478123
478124,Alcorn,https://stats.ncaa.org/team/17/14900,https://stats.ncaa.org/teams/478124
478240,Ark.-Pine Bluff,https://stats.ncaa.org/team/2678/14900,https://stats.ncaa.org/teams/478240
478125,Austin Peay,https://stats.ncaa.org/team/43/14900,https://stats.ncaa.org/teams/478125
478127,Bethune-Cookman,https://stats.ncaa.org/team/61/14900,https://stats.ncaa.org/teams/478127
478128,Brown,https://stats.ncaa.org/team/80/14900,https://stats.ncaa.org/teams/478128
478129,Bryant,https://stats.ncaa.org/team/81/14900,https://stats.ncaa.org/teams/478129
478130,Bucknell,https://stats.ncaa.org/team/83/14900,https://stats.ncaa.org/teams/478130
478131,Butler,https://stats.ncaa.org/team/87/14900,https://stats.ncaa.org/teams/478131
478132,Cal Poly,https://stats.ncaa.org/team/90/14900,https://stats.ncaa.org/teams/478132
478135,Campbell,https://stats.ncaa.org/team/115/14900,https://stats.ncaa.org/teams/478135
478235,Central Ark.,https://stats.ncaa.org/team/1004/14900,https://stats.ncaa.org/teams/478235
478136,Central Conn. St.,https://stats.ncaa.org/team/127/14900,https://stats.ncaa.org/teams/478136
478126,Charleston So.,https://stats.ncaa.org/team/48/14900,https://stats.ncaa.org/teams/478126
478221,Chattanooga,https://stats.ncaa.org/team/693/14900,https://stats.ncaa.org/teams/478221
478138,Colgate,https://stats.ncaa.org/team/153/14900,https://stats.ncaa.org/teams/478138
478139,Columbia,https://stats.ncaa.org/team/158/14900,https://stats.ncaa.org/teams/478139
478140,Cornell,https://stats.ncaa.org/team/167/14900,https://stats.ncaa.org/teams/478140
478141,Dartmouth,https://stats.ncaa.org/team/172/14900,https://stats.ncaa.org/teams/478141
478142,Davidson,https://stats.ncaa.org/team/173/14900,https://stats.ncaa.org/teams/478142
478143,Dayton,https://stats.ncaa.org/team/175/14900,https://stats.ncaa.org/teams/478143
478145,Delaware,https://stats.ncaa.org/team/180/14900,https://stats.ncaa.org/teams/478145
478144,Delaware St.,https://stats.ncaa.org/team/178/14900,https://stats.ncaa.org/teams/478144
478146,Drake,https://stats.ncaa.org/team/189/14900,https://stats.ncaa.org/teams/478146
478147,Duquesne,https://stats.ncaa.org/team/194/14900,https://stats.ncaa.org/teams/478147
478148,ETSU,https://stats.ncaa.org/team/198/14900,https://stats.ncaa.org/teams/478148
478149,Eastern Ill.,https://stats.ncaa.org/team/201/14900,https://stats.ncaa.org/teams/478149
478150,Eastern Ky.,https://stats.ncaa.org/team/202/14900,https://stats.ncaa.org/teams/478150
478151,Eastern Wash.,https://stats.ncaa.org/team/207/14900,https://stats.ncaa.org/teams/478151
478236,Elon,https://stats.ncaa.org/team/1068/14900,https://stats.ncaa.org/teams/478236
478152,Florida A&M,https://stats.ncaa.org/team/228/14900,https://stats.ncaa.org/teams/478152
478153,Fordham,https://stats.ncaa.org/team/236/14900,https://stats.ncaa.org/teams/478153
478154,Furman,https://stats.ncaa.org/team/244/14900,https://stats.ncaa.org/teams/478154
478237,Gardner-Webb,https://stats.ncaa.org/team/1092/14900,https://stats.ncaa.org/teams/478237
478155,Georgetown,https://stats.ncaa.org/team/251/14900,https://stats.ncaa.org/teams/478155
478156,Grambling,https://stats.ncaa.org/team/261/14900,https://stats.ncaa.org/teams/478156
478157,Hampton,https://stats.ncaa.org/team/270/14900,https://stats.ncaa.org/teams/478157
478158,Harvard,https://stats.ncaa.org/team/275/14900,https://stats.ncaa.org/teams/478158
478159,Holy Cross,https://stats.ncaa.org/team/285/14900,https://stats.ncaa.org/teams/478159
478160,Houston Baptist,https://stats.ncaa.org/team/287/14900,https://stats.ncaa.org/teams/478160
478161,Howard,https://stats.ncaa.org/team/290/14900,https://stats.ncaa.org/teams/478161
478119,Idaho,https://stats.ncaa.org/team/295/14900,https://stats.ncaa.org/teams/478119
478162,Idaho St.,https://stats.ncaa.org/team/294/14900,https://stats.ncaa.org/teams/478162
